onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_at_risk,emp_at_risk
35-1011.00,83.69,19.32,88.0,64720.0,60990.0,182320.0,Chefs and Head Cooks,3.0,0.23085195363842753,0.0004826678367705134,11799750400.0,2723995432.2858167,42088.928187358106
35-1012.00,104.28,12.38,67.0,44900.0,42010.0,1187460.0,First-Line Supervisors of Food Preparation and Serving Workers,2.0,0.11871883390870733,5.642295319421286e-05,53316954000.0,6329726606.444189,140973.8665132336
35-2013.00,53.09,4.65,22.0,51290.0,44530.0,900.0,"Cooks, Private Household",3.0,0.08758711621774345,0.024444444444444446,46161000.0,4043108.8717272556,78.8284045959691
35-2014.00,85.14,3.46,73.0,37730.0,36830.0,1452130.0,"Cooks, Restaurant",2.0,0.0406389476156918,5.027098124823535e-05,54788864900.0,2226561810.594315,59013.03500117453
35-3011.00,85.54,4.33,16.0,39880.0,33530.0,745610.0,Bartenders,2.0,0.05061959317278466,2.1458939660144044e-05,29734926800.0,1505169897.6385317,37742.47486555997
35-3023.00,109.69,4.31,23.0,31350.0,30480.0,3780930.0,Fast Food and Counter Workers,1.0,0.039292551736712554,6.083159434319069e-06,118532155500.0,4657430852.447807,148562.3876378886
35-3023.01,77.75999999999999,4.36,30.0,31350.0,30480.0,3780930.0,Baristas,1.0,0.056069958847736634,7.93455578389444e-06,118532155500.0,6646093081.018519,211996.58950617287
35-3031.00,108.54,3.45,26.0,38360.0,33760.0,2302690.0,Waiters and Waitresses,2.0,0.03178551686014373,1.1291142099023316e-05,88331188400.0,2807652478.164732,73192.19181868435
35-9031.00,81.86,16.7,169.0,32030.0,30380.0,427150.0,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.0,0.20400684094795993,0.00039564555776659254,13681614500.0,2791142953.2128024,87141.52211092108
37-1011.00,107.57,20.3,227.0,51170.0,47520.0,174660.0,First-Line Supervisors of Housekeeping and Janitorial Workers,2.0,0.18871432555545228,0.0012996679262567274,8937352200.0,1686606392.6745377,32960.84410151529
